pp,name,season,gf,points,gc,pg,pe,pj,position,day
2,Barcelona,Temporada 2012-13,115,100,40,32,4,38,1,Jornada 38
5,R. Madrid,Temporada 2012-13,103,85,42,26,7,38,2,Jornada 38
8,Atlético,Temporada 2012-13,65,76,31,23,7,38,3,Jornada 38
8,R. Sociedad,Temporada 2012-13,70,66,49,18,12,38,4,Jornada 38
11,Valencia,Temporada 2012-13,67,65,54,19,8,38,5,Jornada 38
13,Málaga,Temporada 2012-13,53,57,50,16,9,38,6,Jornada 38
14,Betis,Temporada 2012-13,57,56,56,16,8,38,7,Jornada 38
17,Rayo,Temporada 2012-13,50,53,66,16,5,38,8,Jornada 38
16,Sevilla,Temporada 2012-13,58,50,54,14,8,38,9,Jornada 38
17,Getafe,Temporada 2012-13,43,47,57,13,8,38,10,Jornada 38
16,Levante,Temporada 2012-13,40,46,57,12,10,38,11,Jornada 38
17,Athletic,Temporada 2012-13,44,45,65,12,9,38,12,Jornada 38
16,Espanyol,Temporada 2012-13,43,44,52,11,11,38,13,Jornada 38
17,Valladolid,Temporada 2012-13,49,43,58,11,10,38,14,Jornada 38
18,Granada,Temporada 2012-13,37,42,54,11,9,38,15,Jornada 38
19,Osasuna,Temporada 2012-13,33,39,50,10,9,38,16,Jornada 38
21,Celta,Temporada 2012-13,37,37,52,10,7,38,17,Jornada 38
20,Mallorca,Temporada 2012-13,43,36,72,9,9,38,18,Jornada 38
19,Deportivo,Temporada 2012-13,47,35,70,8,11,38,19,Jornada 38
22,Zaragoza,Temporada 2012-13,37,34,62,9,7,38,20,Jornada 38
0,Atlético,Temporada 2011-12,4,3,0,1,0,1,1,Jornada 1
0,Barcelona,Temporada 2011-12,4,3,1,1,0,1,2,Jornada 1
0,R. Madrid,Temporada 2011-12,4,3,1,1,0,1,3,Jornada 1
0,Espanyol,Temporada 2011-12,3,3,0,1,0,1,4,Jornada 1
0,Villarreal,Temporada 2011-12,3,3,0,1,0,1,5,Jornada 1
0,Getafe,Temporada 2011-12,2,3,1,1,0,1,6,Jornada 1
0,Mallorca,Temporada 2011-12,1,3,0,1,0,1,7,Jornada 1
0,Betis,Temporada 2011-12,1,1,1,0,1,1,8,Jornada 1
0,Osasuna,Temporada 2011-12,1,1,1,0,1,1,9,Jornada 1
0,Sevilla,Temporada 2011-12,1,1,1,0,1,1,10,Jornada 1
0,Valencia,Temporada 2011-12,1,1,1,0,1,1,11,Jornada 1
0,Levante,Temporada 2011-12,0,1,0,0,1,1,12,Jornada 1
0,Zaragoza,Temporada 2011-12,0,1,0,0,1,1,13,Jornada 1
1,Racing,Temporada 2011-12,1,0,2,0,0,1,14,Jornada 1
1,Rayo,Temporada 2011-12,0,0,1,0,0,1,15,Jornada 1
1,Athletic,Temporada 2011-12,1,0,4,0,0,1,16,Jornada 1
1,Málaga,Temporada 2011-12,1,0,4,0,0,1,17,Jornada 1
1,Granada,Temporada 2011-12,0,0,3,0,0,1,18,Jornada 1
1,Sporting,Temporada 2011-12,0,0,3,0,0,1,19,Jornada 1
1,R. Sociedad,Temporada 2011-12,0,0,4,0,0,1,20,Jornada 1
0,Valencia,Temporada 2002-03,5,6,0,2,0,2,1,Jornada 2
0,R. Sociedad,Temporada 2002-03,7,6,3,2,0,2,2,Jornada 2
0,Celta,Temporada 2002-03,4,6,1,2,0,2,3,Jornada 2
0,Málaga,Temporada 2002-03,5,6,3,2,0,2,4,Jornada 2
0,Valladolid,Temporada 2002-03,2,6,0,2,0,2,5,Jornada 2
0,Barcelona,Temporada 2002-03,4,4,2,1,1,2,6,Jornada 2
0,Betis,Temporada 2002-03,4,3,2,1,0,1,7,Jornada 2
0,R. Madrid,Temporada 2002-03,2,3,0,1,0,1,8,Jornada 2
1,Racing,Temporada 2002-03,1,3,1,1,0,2,9,Jornada 2
1,Deportivo,Temporada 2002-03,4,3,5,1,0,2,10,Jornada 2
0,Atlético,Temporada 2002-03,3,2,3,0,2,2,11,Jornada 2
1,Osasuna,Temporada 2002-03,3,1,4,0,1,2,12,Jornada 2
1,Rayo,Temporada 2002-03,3,1,4,0,1,2,13,Jornada 2
1,Alavés,Temporada 2002-03,2,1,3,0,1,2,14,Jornada 2
1,Villarreal,Temporada 2002-03,2,1,3,0,1,2,15,Jornada 2
1,Sevilla,Temporada 2002-03,1,1,2,0,1,2,16,Jornada 2
2,Athletic,Temporada 2002-03,2,0,6,0,0,2,17,Jornada 2
2,Recreativo,Temporada 2002-03,2,0,6,0,0,2,18,Jornada 2
2,Espanyol,Temporada 2002-03,1,0,5,0,0,2,19,Jornada 2
2,Mallorca,Temporada 2002-03,1,0,5,0,0,2,20,Jornada 2
